,Address,Area,Baths,Beds,City,Half-Baths,Price
88,10317 Orange Grove Dr,"1,905 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33618,,"$370,000"
89,6745 Twelve Oaks Boulevard,"2,242 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33634,1 half bath,"$325,000"
90,16683 Brigadoon Drive,"1,136 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33618,1 half bath,"$147,500"
91,4000 W San Pedro Street,"4,358 sq. ft",Baths 4 baths,Beds 5 beds,Tampa FL 33629,2 half baths,"$1,275,000"
92,3609 S Concordia Avenue,"3,930 sq. ft",Baths 4 baths,Beds 5 beds,Tampa FL 33629,,"$899,000"
93,506 S Tampania Avenue 6,"2,733 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33609,1 half bath,"$569,900"
94,3123 W Paul Avenue,"2,919 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33611,,"$534,999"
95,10543 Martinique Isle Drive,"3,348 sq. ft",Baths 4 baths,Beds 5 beds,Tampa FL 33647,,"$515,000"
96,10507 Palm Cove Avenue,"2,805 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33647,,"$399,900"
97,10507 Palm Cove Avenue,"2,805 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33647,,"$399,900"
98,20312 Autumn Fern Avenue,"3,309 sq. ft",Baths 3 baths,Beds 5 beds,Tampa FL 33647,,"$349,900"
99,18727 E Forest Glen Court E,"2,436 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33647,,"$299,900"
100,,714 sq. ft,Baths 1 bath,Beds 1 bed,,,"$289,900"
101,3714 N 52nd Street,"1,970 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33619,,"$184,900"
102,4514 Sweetwater Lake Drive,"1,200 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33613,,"$150,000"
103,2901 W Bay View Avenue,"3,562 sq. ft",Baths 4 baths,Beds 4 beds,Tampa FL 33611,1 half bath,"$1,595,000"
104,908 S Himes Avenue,,,,Tampa FL 33629,,"$998,000"
105,10503 Cory Lake Drive,"3,611 sq. ft",Baths 4 baths,Beds 4 beds,Tampa FL 33647,,"$718,000"
106,9156 Highland Ridge Way,"3,008 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33647,,"$485,000"
107,11929 Middlebury Drive,"2,846 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33626,,"$459,000"
108,6214 Interbay Avenue,"2,286 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33611,1 half bath,"$449,000"
109,10007 Bennington Drive,"2,242 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33626,,"$439,000"
110,10007 Bennington Drive,"2,242 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33626,,"$439,000"
111,2407 W Stroud Avenue,"1,008 sq. ft",Baths 1 bath,Beds 2 beds,Tampa FL 33629,,"$399,000"
112,1214 E Lambright Street,"1,577 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33604,,"$389,000"
113,20242 Ravens End Drive,"3,524 sq. ft",Baths 3 baths,Beds 5 beds,Tampa FL 33647,,"$354,900"
114,6306 N Queensway Drive,"2,513 sq. ft",Baths 2 baths,Beds 4 beds,Temple Terrace FL 33617,1 half bath,"$315,000"
115,507 E Ellicott Street,"2,659 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33603,1 half bath,"$314,900"
116,19210 Verdant Pasture Way,"2,255 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33647,,"$299,900"
117,19210 Verdant Pasture Way,"2,255 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33647,,"$299,900"
118,8013 Lago Vista Drive,"1,788 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33614,,"$275,000"
119,19126 Dove Creek Drive,"1,825 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33647,1 half bath,"$269,900"
120,4702 Kilkenny Drive,"1,254 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33610,,"$200,999"
121,7931 Pine Drive,"1,085 sq. ft",Baths 1 bath,Beds 2 beds,Temple Terrace FL 33637,1 half bath,"$115,000"
122,4138 Dolphin Drive 4138,384 sq. ft,Baths 1 bath,Beds 1 bed,Tampa FL 33617,,"$53,000"
123,5215 W Neptune Way,"2,359 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33609,,"$1,450,000"
124,12402 Pony Court,"3,382 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33626,1 half bath,"$625,000"
125,12402 Pony Court,"3,382 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33626,1 half bath,"$625,000"
126,10620 Hatteras Drive,"2,725 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33615,1 half bath,"$439,000"
127,10620 Hatteras Drive,"2,725 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33615,1 half bath,"$439,000"
128,421 Montrose Avenue,"3,234 sq. ft",Baths 3 baths,Beds 5 beds,Temple Terrace FL 33617,1 half bath,"$599,000"
129,12011 Mountbatten Drive,"1,942 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33626,,"$379,900"
130,11708 Carrollwood Cove,"1,947 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33624,,"$349,000"
131,10307 Greenhedges Drive,"3,623 sq. ft",Baths 4 baths,Beds 4 beds,Tampa FL 33626,,"$739,000"
132,10307 Greenhedges Drive,"3,623 sq. ft",Baths 4 baths,Beds 4 beds,Tampa FL 33626,,"$739,000"
133,4315 W Granada Street,"1,786 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33629,,"$484,900"
134,1723 W Henry Avenue,"1,230 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33603,,"$124,900"
135,3514 E 9th Avenue,"1,099 sq. ft",Baths 1 bath,Beds 3 beds,Tampa FL 33605,,"$120,500"
136,1306 E Linebaugh,"1,028 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33612,,"$115,500"
137,9944 Morris Bridge Road,"1,991 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33637,,"$225,000"
138,819 Grove Park Ave,"6,373 sq. ft",Baths 4 baths,Beds 5 beds,Tampa FL 33609,1 half bath,"$1,995,000"
139,3211 W Hawthorne Road,"2,280 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33611,1 half bath,"$600,000"
140,7307 S Elliott Street,"1,381 sq. ft",Baths 1 bath,Beds 4 beds,Tampa FL 33616,1 half bath,"$234,999"
141,4804 S 87th Street,"1,051 sq. ft",Baths 1 bath,Beds 4 beds,Tampa FL 33619,,"$149,900"
142,10552 White Lake Court 10552,"1,373 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33626,,"$142,900"
143,10552 White Lake Court 10552,"1,373 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33626,,"$142,900"
144,2411 W Stroud Avenue 2,663 sq. ft,Baths 1 bath,Beds 1 bed,Tampa FL 33629,,"$139,999"
145,3406 N 48th Street,886 sq. ft,Baths 1 bath,Beds 3 beds,Tampa FL 33605,,"$119,900"
146,7702 New York Drive,798 sq. ft,Baths 1 bath,Beds 3 beds,Tampa FL 33619,,"$119,900"
147,12710 N 53rd Street,"1,020 sq. ft",Baths 2 baths,Beds 2 beds,Temple Terrace FL 33617,,"$115,000"
148,12712 N 53rd Street,"1,020 sq. ft",Baths 1 bath,Beds 3 beds,Temple Terrace FL 33617,,"$115,000"
149,18001 Richmond Place Drive 427,"1,083 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33647,,"$109,000"
150,18001 Richmond Place Drive 1116,939 sq. ft,Baths 1 bath,Beds 2 beds,Tampa FL 33647,,"$99,000"
151,8516 Island Breeze Lane 201,702 sq. ft,Baths 1 bath,Beds 1 bed,Temple Terrace FL 33637,,"$83,900"
152,Takomah Trail,,,,Tampa FL 33617,,"$45,000"
153,3717 W. Neptune St,"3,214 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33629,1 half bath,"$895,000"
154,207 S Moody Ave #A,"2,146 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33609,1 half bath,"$550,000"
155,6309 S Renellie Ct,"1,820 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33616,,"$284,900"
156,12703 Tall Pine Dr,"1,474 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33625,1 half bath,"$174,900"
157,3118 W San Miguel Street,"1,539 sq. ft",Baths 1 bath,Beds 3 beds,Tampa FL 33629,,"$779,900"
158,4826 W San Jose Street,"2,052 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33629,1 half bath,"$495,000"
159,3412 St. John Street,"2,109 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33607,1 half bath,"$401,125"
160,406 S Albany Avenue Unit A,"3,332 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33606,1 half bath,"$749,000"
161,411 S Westland Avenue 1,"1,700 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33606,1 half bath,"$419,000"
162,604 S Melville Avenue 2,"1,610 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33606,1 half bath,"$419,000"
163,604 S Melville Avenue 2,"1,610 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33606,1 half bath,"$419,000"
164,3603 Prunus Place,"1,960 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33618,1 half bath,"$390,000"
165,6012 S Elkins Avenue,"1,187 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33611,,"$289,000"
166,5111 W Grace Street,,,,Tampa FL 33607,,"$280,000"
167,20119 Heron Crossing Drive,"2,114 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33647,,"$239,900"
168,20119 Heron Crossing Drive,"2,114 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33647,,"$239,900"
169,4951 Elizabeth Anne Circle,"1,292 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33616,1 half bath,"$184,000"
170,804 E Flora Street,"1,469 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33604,,"$179,900"
171,804 E Flora Street,"1,469 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33604,,"$179,900"
172,10935 N Lantana Avenue,"1,119 sq. ft",Baths 1 bath,Beds 3 beds,Tampa FL 33612,1 half bath,"$174,900"
173,16012 Bella Woods Dr,"2,625 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33647,,"$324,900"
174,3517 W San Miguel St N,"4,394 sq. ft",Baths 5 baths,Beds 5 beds,Tampa FL 33629,1 half bath,"$1,475,000"
175,8315N Rome Ave,,,,Tampa FL 33604,,"$185,000"
176,4304 Ashby Lane,"2,765 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33624,,"$450,000"
177,12520 Blazing Star Drive,"2,439 sq. ft",Baths 2 baths,Beds 5 beds,Tampa FL 33626,1 half bath,"$445,000"
178,4302 W Empedrado Street,"1,206 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33629,,"$395,000"
179,2013 Chickwood Court,"2,465 sq. ft",Baths 3 baths,Beds 5 beds,Tampa FL 33618,,"$350,000"
180,10405 Reclinata Lane,"3,534 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33618,1 half bath,"$650,000"
181,9510 Greenpointe Drive,"2,183 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33626,,"$435,000"
182,9510 Greenpointe Drive,"2,183 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33626,,"$435,000"
183,10009 Bridgeton Drive,"2,597 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33626,1 half bath,"$424,900"
184,10933 Cory Lake Drive,"2,497 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33647,1 half bath,"$399,900"
185,10933 Cory Lake Drive,"2,497 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33647,1 half bath,"$399,900"
186,4306 Autumn Leaves Drive,"2,093 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33624,,"$329,000"
187,4306 Autumn Leaves Drive,"2,093 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33624,,"$329,000"
188,14104 Davenport Place,"1,746 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33625,,"$259,900"
189,108 Alameda Court 133,"1,000 sq. ft",Baths 1 bath,Beds 2 beds,Tampa FL 33609,,"$176,950"
190,15109 Barby Dr,"1,888 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33625,,"$295,000"
191,11709 Glen Wessex Court,"4,919 sq. ft",Baths 4 baths,Beds 4 beds,Tampa FL 33626,1 half bath,"$1,199,000"
192,11709 Glen Wessex Court,"4,919 sq. ft",Baths 4 baths,Beds 4 beds,Tampa FL 33626,1 half bath,"$1,199,000"
193,11627 Bristol Chase Drive,"3,846 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33626,1 half bath,"$679,700"
194,1206 E Park Circle,"2,540 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33604,,"$484,900"
195,5125 N 47th Street,,,,Tampa FL 33610,,"$430,450"
196,9325 Cypress Bend Drive,"2,866 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33647,,"$392,000"
197,9325 Cypress Bend Drive,"2,866 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33647,,"$392,000"
198,18109 Sugar Brooke Drive,"2,920 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33647,,"$379,000"
199,801 N Bradford Avenue,,,,Tampa FL 33609,,"$369,000"
200,4301 Hudson Lane,"2,727 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33618,,"$410,000"
201,20327 Chestnut Grove Drive,"2,534 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33647,1 half bath,"$369,000"
202,20327 Chestnut Grove Drive,"2,534 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33647,1 half bath,"$369,000"
203,4612 Old Saybrook Avenue,"2,252 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33624,,"$349,900"
204,18551 Bridle Club Drive 18551,"1,335 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33647,,"$159,900"
205,18551 Bridle Club Drive 18551,"1,335 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33647,,"$159,900"
206,5019 Terrace Village Lane,"1,262 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33617,1 half bath,"$110,000"
207,7210 N Manhattan Avenue 1523,"1,363 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33614,,"$105,000"
208,9029 Westchester Circle 123,"1,183 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33604,,"$85,000"
209,16201 Pebblebrook Drive,"1,644 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33624,,"$242,500"
210,10442 Greendale Dr,"2,792 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33626,,"$479,900"
211,3209 W Horatio Street Unit 2,"1,965 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33609,1 half bath,"$460,000"
212,13929 Shady Shores Drive,"2,555 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33613,,"$350,000"
213,11816 Shire Wycliffe Court,"3,733 sq. ft",Baths 4 baths,Beds 5 beds,Tampa FL 33626,,"$869,000"
214,3203 Ehrlich Road,"2,799 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33618,1 half bath,"$535,000"
215,3203 Ehrlich Road,"2,799 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33618,1 half bath,"$535,000"
216,2827 N Nebraska Avenue,"2,270 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33602,,"$225,999"
217,10242 Devonshire Lake Drive,"1,578 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33647,,"$215,000"
218,6015 Crest Hill Dr,"1,362 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33615,,"$210,000"
219,20118 Indian Rosewood Drive,"1,511 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33647,1 half bath,"$187,000"
220,9622 W Park Village Drive,"3,999 sq. ft",Baths 4 baths,Beds 4 beds,Tampa FL 33626,1 half bath,"$625,000"
221,19531 Whispering Brook Drive,"3,028 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33647,,"$359,900"
222,4007 Bayshore Boulevard,"4,853 sq. ft",Baths 5 baths,Beds 4 beds,Tampa FL 33611,,"$3,150,000"
223,3818 W San Miguel Street,"1,525 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33629,,"$475,000"
224,3609 S Gardenia Avenue,"1,848 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33629,,"$449,900"
225,9923 Stockbridge Drive,"1,956 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33626,,"$340,000"
226,4407 Summer Oak Drive,"2,080 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33618,,"$329,900"
227,4407 Summer Oak Drive,"2,080 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33618,,"$329,900"
228,311 N Macdill Avenue,"1,704 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33609,,"$325,000"
229,8708 Middle Cross Place,"2,054 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33635,,"$319,900"
230,8708 Middle Cross Place,"2,054 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33635,,"$319,900"
231,5842 Mohr Loop,"1,819 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33615,1 half bath,"$279,900"
232,11269 Windsor Place Circle,"1,683 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33626,1 half bath,"$243,990"
233,11269 Windsor Place Circle,"1,683 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33626,1 half bath,"$243,990"
234,8854 Cypress Hammock Drive,"1,674 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33614,,"$239,000"
235,8854 Cypress Hammock Drive,"1,674 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33614,,"$239,000"
236,11120 Blaine Top Place,"1,597 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33626,1 half bath,"$218,500"
237,20548 Grand Vista Lane,"1,988 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33647,1 half bath,"$215,000"
238,20548 Grand Vista Lane,"1,988 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33647,1 half bath,"$215,000"
239,13941 Clubhouse Drive 207,"1,016 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33618,,"$184,900"
240,4630 W Tennyson Avenue,"3,712 sq. ft",Baths 2 baths,Beds 5 beds,Tampa FL 33629,1 half bath,"$795,000"
241,4630 W Tennyson Avenue,"3,712 sq. ft",Baths 2 baths,Beds 5 beds,Tampa FL 33629,1 half bath,"$795,000"
242,5004 Waterkey Way,"3,850 sq. ft",Baths 3 baths,Beds 5 beds,Tampa FL 33647,1 half bath,"$699,000"
243,2505 Lancer Drive,"1,877 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33618,,"$274,000"
244,12806 Sanctuary Vista Trail 14,"1,931 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33625,1 half bath,"$264,990"
245,6312 Newtown Circle 12c1,744 sq. ft,Baths 1 bath,Beds 1 bed,Tampa FL 33615,1 half bath,"$85,000"
246,9013 Tudor Drive G105,760 sq. ft,Baths 1 bath,Beds 1 bed,Tampa FL 33615,,"$61,000"
247,3618 E Ellicott St,572 sq. ft,,,Tampa FL 33610,,"$63,500"
248,3121 W Bay Vista Avenue,"3,692 sq. ft",Baths 4 baths,Beds 5 beds,Tampa FL 33611,,"$1,025,000"
249,4512 S Ferncroft Circle,"3,411 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33629,1 half bath,"$895,000"
250,113 Glen Ridge Avenue,"1,598 sq. ft",Baths 2 baths,Beds 2 beds,Temple Terrace FL 33617,,"$123,500"
251,2514 W Parkland Boulevard,,,,Tampa FL 33609,,"$849,900"
252,4403 Casey Lake Boulevard,"2,735 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33618,,"$414,900"
253,423 S Matanzas Avenue,"1,940 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33609,1 half bath,"$399,900"
254,10420 Butia Place,"2,355 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33618,,"$364,900"
255,12022 Deacons Croft Lane,"1,880 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33626,1 half bath,"$314,800"
256,11809 Snapdragon Road,"1,623 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33635,,"$295,900"
257,11809 Snapdragon Road,"1,623 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33635,,"$295,900"
258,1007 N Paddock Avenue,"1,360 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33607,,"$204,900"
259,4104 W Mango Ave,978 sq. ft,Baths 1 bath,Beds 3 beds,Tampa FL 33616,,"$199,999"
260,8411 Creek Bank Lane,"2,040 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33635,,"$374,999"
261,3203 E Yukon Street,"1,505 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33604,,"$330,000"
262,3203 E Yukon Street,"1,505 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33604,,"$330,000"
263,6706 S Sterling Avenue,,,,Tampa FL 33611,,"$100,000"
264,4039 N River View Avenue,"3,079 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33607,1 half bath,"$1,000,000"
265,3903 W San Miguel Street,,,,Tampa FL 33629,,"$469,500"
266,3903 W San Miguel Street,,,,Tampa FL 33629,,"$469,500"
267,4824 Woods Landing,"3,324 sq. ft",Baths 3 baths,Beds 5 beds,Tampa FL 33619,,"$314,900"
268,4205 W Bay View Avenue,"1,702 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33611,,"$278,000"
269,5303 N Tampa Street,"1,518 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33603,,"$255,000"
270,1220 E North Street,620 sq. ft,Baths 1 bath,Beds 1 bed,Tampa FL 33604,,"$234,900"
271,1220 E North Street,620 sq. ft,Baths 1 bath,Beds 1 bed,Tampa FL 33604,,"$234,900"
272,8720 N Calder Place,"1,369 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33604,,"$188,900"
273,4431 Atwater Drive,"1,653 sq. ft",Baths 2 baths,Beds 5 beds,Tampa FL 33610,,"$175,000"
274,16526 Ballyshannon Drive,"4,306 sq. ft",Baths 4 baths,Beds 6 beds,Tampa FL 33624,1 half bath,"$799,900"
275,16526 Ballyshannon Drive,"4,306 sq. ft",Baths 4 baths,Beds 6 beds,Tampa FL 33624,1 half bath,"$799,900"
276,10878 Cory Lake Drive,"3,388 sq. ft",Baths 4 baths,Beds 5 beds,Tampa FL 33647,1 half bath,"$515,000"
277,10878 Cory Lake Drive,"3,388 sq. ft",Baths 4 baths,Beds 5 beds,Tampa FL 33647,1 half bath,"$515,000"
278,8772 Ashworth Drive,"2,695 sq. ft",Baths 3 baths,Beds 5 beds,Tampa FL 33647,,"$344,900"
279,907 E Lambright Street,778 sq. ft,Baths 1 bath,Beds 2 beds,Tampa FL 33604,,"$119,999"
280,13604 Westshire Drive,"1,512 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33618,,"$299,900"
281,2603 N Albany Avenue,"1,780 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33607,1 half bath,"$299,875"
282,4318 W Grace Street,"1,248 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33607,1 half bath,"$159,900"
283,7904 River Ridge Drive,,,,Temple Terrace FL 33637,,"$80,000"
284,4205 W Woodmere Road,"4,960 sq. ft",Baths 4 baths,Beds 4 beds,Tampa FL 33609,,"$1,275,000"
285,5823 Bowen Daniel Drive 301,"2,555 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33616,1 half bath,"$719,000"
286,7602 S Obrien Street,"2,443 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33616,1 half bath,"$439,900"
287,7602 S Obrien Street,"2,443 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33616,1 half bath,"$439,900"
288,10112 Woodsong Way,"3,952 sq. ft",Baths 5 baths,Beds 5 beds,Tampa FL 33618,,"$669,000"
289,10601 Wild Meadow Way,"2,221 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33626,1 half bath,"$375,000"
290,4801 W Longfellow Avenue,"4,098 sq. ft",Baths 4 baths,Beds 5 beds,Tampa FL 33629,,"$974,900"
291,3301 Bayshore Boulevard 1604,"2,007 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33629,,"$650,000"
292,2511 N Grady Avenue 69,"1,902 sq. ft",Baths 3 baths,Beds 3 beds,Tampa FL 33607,1 half bath,"$480,340"
