,Address,Area,Baths,Beds,City,Half-Baths,Price
346,8306 N Flintrock Court,"2,008 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33615,1 half bath,"$265,000"
347,2807 S Manhattan Avenue,"1,491 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33629,,"$369,900"
348,10404 Villa View Circle 10404,"1,353 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33647,,"$139,900"
349,3110 N 18th Street,,,,Tampa FL 33605,,"$25,000"
350,5805 Galleon Way,"2,453 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33615,1 half bath,"$569,000"
351,202 W South Avenue,"1,424 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33603,,"$289,900"
352,202 W South Avenue,"1,424 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33603,,"$289,900"
353,504 S Armenia Ave 1339A,"1,231 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33609,,"$265,000"
354,20621 Great Laurel Ave,"1,905 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33647,,"$239,900"
355,6233 Bayshore Boulevard,"5,837 sq. ft",Baths 5 baths,Beds 6 beds,Tampa FL 33611,1 half bath,"$1,800,000"
356,6233 Bayshore Boulevard,"5,837 sq. ft",Baths 5 baths,Beds 6 beds,Tampa FL 33611,1 half bath,"$1,800,000"
357,7118 Bonito Street,"1,679 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33617,,"$165,000"
358,2317 Kentucky Avenue,"2,708 sq. ft",Baths 5 baths,Beds 4 beds,Tampa FL 33607,,"$267,000"
359,3608 Euclid Ave W,"3,116 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33629,1 half bath,"$695,000"
360,1003 E Comanche Avenue,"1,753 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33604,,"$366,960"
361,19377 Hawk Valley Drive,"1,754 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33647,,"$336,090"
362,19377 Hawk Valley Drive,"1,754 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33647,,"$336,090"
363,19373 Hawk Valley Drive,"1,750 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33647,,"$335,150"
364,19373 Hawk Valley Drive,"1,750 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33647,,"$335,150"
365,19379 Hawk Valley Drive,"1,782 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33647,,"$330,520"
366,19379 Hawk Valley Drive,"1,782 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33647,,"$330,520"
367,19375 Hawk Valley Drive,"1,775 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33647,,"$328,730"
368,19375 Hawk Valley Drive,"1,775 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33647,,"$328,730"
369,8402 Kricket Lane,"1,560 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33637,,"$117,000"
370,101 W Ida St,"1,146 sq. ft",Baths 1 bath,Beds 2 beds,Tampa FL 33603,,"$173,000"
371,12009 N Gomez Avenue,"1,798 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33618,,"$258,000"
372,5101 E 18th Avenue,"1,328 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33619,,"$195,000"
373,5101 E 18th Avenue,"1,328 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33619,,"$195,000"
374,5000 Culbreath Key Way 1210,780 sq. ft,Baths 1 bath,Beds 1 bed,Tampa FL 33611,,"$135,000"
375,7913 Cedar Dr,"1,260 sq. ft",Baths 1 bath,Beds 3 beds,Temple Terrace FL 33637,1 half bath,"$105,000"
376,4605 W Vasconia Street,"3,406 sq. ft",Baths 4 baths,Beds 4 beds,Tampa FL 33629,,"$1,379,000"
377,2922 W La Salle Street,"1,929 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33607,1 half bath,"$349,900"
378,6345 Newtown Circle 45a1,"1,502 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33615,1 half bath,"$99,900"
379,10753 Pleasant Knoll Drive,"5,452 sq. ft",Baths 4 baths,Beds 6 beds,Tampa FL 33647,2 half baths,"$578,170"
380,10510 Rochester Way,"2,345 sq. ft",Baths 3 baths,Beds 4 beds,Tampa FL 33626,,"$399,000"
381,116 Biscayne Avenue,"4,262 sq. ft",Baths 4 baths,Beds 5 beds,Tampa FL 33606,,"$1,420,000"
382,10406 Snowden Place,"2,625 sq. ft",Baths 3 baths,Beds 5 beds,Tampa FL 33626,,"$515,000"
383,3213 W Beach Street,"1,818 sq. ft",Baths 2 baths,Beds 3 beds,Tampa FL 33607,,"$199,000"
384,1208 E Kennedy Boulevard 814,"1,667 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33602,,"$519,950"
385,1208 E Kennedy Boulevard 814,"1,667 sq. ft",Baths 2 baths,Beds 2 beds,Tampa FL 33602,,"$519,950"
386,12025 Wandsworth Drive,"3,175 sq. ft",Baths 2 baths,Beds 4 beds,Tampa FL 33626,1 half bath,"$549,900"
